,Date,Price,Deviation,Moving Average,Moving Standard Deviation,Moving Deviation,Moving Variation Coefficient
10488,2022-07-20,151.83409804347446,-0.9556930156192804,151.20921439029442,9.203851305076032,0.4132576547664043,0.0
10489,2022-07-21,153.5417326757547,0.15822994974978719,152.1407043866481,9.459190770256187,0.9208766942119835,0.1
10490,2022-07-22,154.63020880251628,0.8682638949132446,153.17778303666563,9.613828575520946,0.948196100672763,0.1
10491,2022-07-25,153.44685298399986,0.09633809911911304,154.34124124252955,9.56029889889068,-0.5794875376985333,-0.1
10492,2022-07-26,151.73423978896227,-1.020832478640277,155.51492561150536,9.539531402656968,-2.431075864697187,-0.3
10493,2022-07-27,154.53035583402746,0.8031278800671166,156.63519885550642,9.515915299374635,-1.3437867330322362,-0.1
10494,2022-07-28,155.80857773382257,1.6369366481161496,157.70045887073806,9.655396300290423,-1.1996674901664046,-0.1
10495,2022-07-29,161.34089515185622,5.245773870766021,158.67699240464142,9.777380054506427,1.678821048247238,0.2
10496,2022-08-01,162.01495573949245,5.685476576733947,159.55875584087505,9.794221489870695,1.5393701747504982,0.2
10497,2022-08-02,160.79664891391874,4.890751565763498,160.34180353448497,9.5262241824598,0.2836723607988812,0.0
10498,2022-08-03,163.44297220151003,6.616999223263063,161.0462557485531,9.248240817677068,1.4882161909426797,0.2
10499,2022-08-04,165.5800018310547,8.011024816926048,161.81609393250358,8.734637673322453,2.326040511224492,0.3
10500,2022-08-05,164.4250030517578,7.257596864065882,162.59434942035764,8.29651861838944,1.125902368640961,0.1
10501,2022-08-08,166.00499725341797,8.288257517761489,163.19376313786842,7.946819167377118,1.722635756107041,0.2
10502,2022-08-09,164.53500366210938,7.329352381176472,163.60815890344853,7.488171649475501,0.5665027739892945,0.1
10503,2022-08-10,168.1199951171875,9.667911366204143,163.98405156748694,6.988869864574204,2.522162070131818,0.4
10504,2022-08-11,169.59000396728516,10.6268264563912,164.2182483197162,6.678513776302645,3.2711076281307663,0.5
10505,2022-08-12,170.78499603271484,11.406342800199743,164.3183571694892,6.533900903996458,3.9354330061586,0.6
10506,2022-08-15,172.37000274658203,12.440273212165682,164.4195169065896,6.40087252016708,4.835487896798339,0.8
10507,2022-08-16,172.68500518798828,12.645755372691552,164.48428845344452,6.294964802278024,4.985714326669495,0.8
10508,2022-08-17,174.36000061035156,13.73838715269185,164.5978137734674,6.084282269201238,5.930933475410343,1.0
10509,2022-08-18,174.00999450683594,13.510071429084872,164.59746846710203,6.0848736036018245,5.718512032653272,0.9
10510,2022-08-19,172.5250015258789,12.54138190169396,164.61334933137826,6.061722246278233,4.806203279767994,0.8
10511,2022-08-22,168.5,9.915795871422912,164.6279861189596,6.054073331143699,2.351977918409631,0.4
10512,2022-08-23,167.68000030517578,9.380894274562806,164.4593207343652,6.198152533165554,1.9583442011247376,0.3
10513,2022-08-24,167.18000030517578,9.054734642896863,164.27793254913237,6.3858197695326355,1.7665597022140849,0.3
10514,2022-08-25,169.24500274658203,10.401775514253535,163.94016698201497,6.69214112998892,3.2358365019531945,0.5
10515,2022-08-26,167.30500030517578,9.136274550813349,163.41616694132486,7.158507308402954,2.379711528325848,0.3
